,Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
3225,Yuhan College,Yuhan College,100,100
9882,Yuhan College,Yuhan College,100,100
3150,Anna University,Kangnam University,91,91
2710,George Washington University,George Washington Uinversity,96,96
5951,Università degli Studi di Siena,Università degli Studi di Firenze,91,90
3989,University of Centra,University of Central,98,98
5995,Shri Shankaracarya Institute of Technology and Management,Shri Shakaracharya Institute of Technology and Management,98,98
5743,AVT Business School,AUT Business School,95,95
1925,Deloitte Consulting GmbH,Deloitte Consulting GmbH,100,100
4496,Valdosta State College,Valdosta State College,100,100
693,B.S.Abdur Rahman University,BS Abdur Rahman University,94,94
3842,PricewaterhouseCoopers,PricewaterhouseCoopers,100,100
4807,PricewaterhouseCoopers,PricewaterhouseCoopers LLP,92,92
5062,PricewaterhouseCoopers,PricewaterhouseCoopers NV,94,94
1175,St. John's University,St. John's University,100,100
8946,Loyola University,Loyola University,100,100
1308,Chongqing University of Science and Technology,Chang Gung University of Science and Technology,92,92
3236,Chongqing University of Science and Technology,Mongolian University of Science and Technology,91,91
5928,Toyota InfoTechnology Center,Toyota InfoTechnology Center,100,100
1185,Jiangxi University of Finance and EcoNomics,Shanxi University of Finance and EcoNomics,94,87
1221,Jiangxi University of Finance and EcoNomics,University of Finance and Economics Mianyang,80,92
2140,Jiangxi University of Finance and EcoNomics,Anhui University of Finance and Economics,93,83
7635,NOVA Information Management School,School of Information Management,73,94
7860,NOVA Information Management School,School of Information Management,73,94
5686,INSEAD,INSEAD,100,100
1961,National University of Kaohsiung,National Kaohsiung Normal University,56,91
7801,National Chiayi University,National Chi Nan University,91,91
2941,Eli Lilly Critical Care Europe,Eli Lilly Critical Care Europe,100,100
3844,City University Business School U.K,City University Business School,94,94
1053,Télécom Ecole de Management (TEM),Telecom Ecole de Management,83,93
8455,Management Information Systems,Management Information Systems,100,100
535,Tuscon Police Department,Tucson Police Department,96,96
755,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology (KIT),92,94
1793,Karlsruhe Institute of Technology,Kalsruhe Institute of Technology (KIT),90,93
4318,Karlsruhe Institute of Technology,Karlsruhe Institute for Technology,96,90
7963,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,100,100
356,Utrecht University of Applied Sciences,Beuth University of Applied Sciences,92,81
6900,Institute for Engaged Business Research,Institute for Engaged Business Research,100,100
699,Isfahan University of Technology,Shaanxi University of Technology,91,81
6888,University of,University of,100,100
7310,University of,University of,100,100
7946,Fordham University,Fordhara University,92,92
3928,Templeton College,Templeton College,100,100
7074,Templeton College,Templeton College,100,100
2825,City University,IT-University,86,93
7645,University of Cincinatti,University of Cinncinnati,94,94
9585,USTC-CityU Joint Advanced Study Institute,USTC-CityU Joint Advanced Study Institute,100,100
881,Institute of Management Technology,Institute of Management Technology,100,100
7155,Ancitel Lombardia,Ancitel Lombardia,100,100
7360,Accenture,Accenture,100,100
9919,Indian Institute of Management Bangalore,Indian Institute of Management Indore,91,78
1347,College of Business Administration,College of Business Administration,100,100
121,City University London,City University Londona,98,98
4303,Center for Creative Leadership,Center for Creative Leadership,100,100
8234,Wipro Infotech Limited,Wipro Infotech Limited,100,100
8211,Kelley School of Business,Kelley School of Business,100,100
5609,Texas AandM International University,Texas A/M International University,94,91
7637,Texas AandM International University,Texas AandM International University,100,100
8292,Texas AandM International University,Texas AandM International University,100,100
9096,Texas AandM International University,Texas A and M International University,97,95
9459,Texas AandM International University,Texas A and M International University,97,95
9772,City University Business School,City University Business School,100,100
3518,Kainan University Taiwan,Asia University Taiwan,91,91
2621,Boston University,Aston University,91,91
5586,Jinan University,University of Jinan,57,91
9118,Jinan University,Jianghan University,91,91
1108,University of Lincoln,Lincoln University,51,92
3395,"Federal University of Technology, Akure",Federal University of Technology,90,91
4716,Forensic Expert,Forensic Expert,100,100
2122,Canisius College,Cenisius College,94,94
894,University of Notre Dame,University of Notre Dame,100,100
4310,University of Agder,University of Adger,95,95
5011,University of Agder,University of Agder,100,100
5997,Deloitte Consulting BV,Deloitte Consulting GmbH,91,83
6626,Deloitte Consulting BV,Deloitte Consulting,93,93
8380,Deloitte Consulting BV,Deloitte Consulting,93,93
9624,Deloitte Consulting BV,Deloitte Consulting,93,93
9160,York University's Schulich School of Business,Schulich School of Business York University,61,98
5808,Loyola University,Loyola University,100,100
6993,Loyola University,Loyola University,100,100
7920,Loyola University,Loyola University,100,100
417,International Burch University,International Burch University,100,100
7085,Universidade Federal de Santa Maria,Universidade Federal de Santa Catarina,93,79
7982,Dongyang Technical College,Dongyang Technical College,100,100
7557,University of Malaya,University of Malta,92,92
8471,University of Malaya,University of Malaysia,95,95
9136,University of Malaya,University of Malta,92,92
4632,Open University of the Netherlands,Open University of the Natherlands,97,97
474,Shell Canada Limited,Shell Canada Limited,100,100
4119,Università degli Studi di Udine,Università degli Studi di Firenze,91,77
7665,Xian University of Arts and Science,University of Sciences and Arts,64,91
4207,Gartner Group Pacific,Gartner Group Pacific,100,100
7832,University of Connecticut,University of Connecticutt,98,98
424,University of Malta,University of Malawi,92,92
9462,Copeland and Company,Copeland and Company,100,100
1741,Curtin University,Curtain University,97,97
9560,Xi'an University of Science and Technology,Anhui University of Science and Technology,93,90
9689,Xi'an University of Science and Technology,Jinwen University of Science and Technology,92,87
5387,Brock University,Brock University,100,100
1880,University of Tokyo,University of OK,91,91
619,Delhi Technological University,Technological University Dublin,79,92
5886,Audencia Nantes School of Management,Audencia Nantes School of Management,100,100
6964,USC,USC,100,100
6538,FZI Forschungszentrum Informatik,Forschungszentrum Informatik,93,93
4639,St. John's University,Saint John’s University,86,93
5118,St. John's University,St John's University,98,100
5691,St. John's University,St. John's University,100,100
5692,St. John's University,St. John's University,100,100
9192,Changsha University of Science and Technology,Hunan University of Science and Technology,92,92
9283,Changsha University of Science and Technology,Harbin University of Science and Technology,91,91
9555,Changsha University of Science and Technology,AGH University of Science and Technology,94,87
9638,Changsha University of Science and Technology,Cochin University of Science and Technology,91,91
1676,Hunan Normal University,Huainan Normal University,96,96
1754,Hunan Normal University,Yunnan Normal University,94,72
1850,Hunan Normal University,Sichuan Normal University,92,71
3636,College of Business,College of Business,100,100
4053,College of Business,College of Business,100,100
5498,College of Business,College of Business,100,100
6780,College of Business,College of Business,100,100
6929,College of Business,College of Business,100,100
6914,Ernst and Young,Ernst and Young,100,100
7069,Ernst and Young,Ernst and Young,100,100
9180,College of Business,College of Business,100,100
206,National Pingtung University of Science and Technology,National University of Sciences and Technology Pakistan,83,92
7006,Saxion University of Applied Sciences,Saxion Universities of Applied Sciences,95,95
8649,Universidade Federal do Parana,Universidade Federal do Para,97,97
7752,Siping Central Hospital,Suining Central Hospital,94,94
3506,ACM Education Board,ACM Education Board,100,100
6391,ACM Education Board,ACM Education Board,100,100
6175,LERO - Irish Software Engineering Research Centre,Lero - The Irish Software Engineering Research Centre,96,96
7780,Salisbury State University,Salisbury State University,100,100
3765,University of Malta,University of Malawi,92,92
6206,College of Business Administration,College of Business Administration,100,100
6392,College of Business Administration,College of Business Administration,100,100
6627,College of Business Administration,College of Business Administration,100,100
8513,College of Business Administration,College of Business Administration,100,100
8613,College of Business Administration,College of Business Administration,100,100
7765,Università degli Studi del Piemonte Orientale Amedeo Avogadro,"Università degli Studi del Piemonte Orientale Amedeo Avogadro, Alessandria",90,91
8783,Centers for Disease Control and Prevention,Centers of Disease Control and Prevention,96,96
9420,Florida State Universit,Florida Stale University,94,94
